"number","assignment_group","variables.c484205e1b7aff00b3c9a9fe6e4bcb67","variables.91a4a05e1b7aff00b3c9a9fe6e4bcb5d"
"SCTASK0007048","COG - Desk side support - Wembley","Power BI License -Andy Coles- Huntingdonshire FA","From: Rahul Vyas <Rahul.Vyas@thefa.com> 
Sent: 28 July 2020 09:42
To: Singh Narula, Taran (Cognizant) <Taran.SinghNarula@cognizant.com>; A, Sharad Davay (Cognizant) <SharadDavay.A@cognizant.com>
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

[External]
Yes. Emails to me is fine. 




Regards,

Rahul Vyas

Service Delivery Manager, Technology Dept.
The FA Group
M. +447778673140

From: Taran.SinghNarula@cognizant.com <Taran.SinghNarula@cognizant.com> 
Sent: 28 July 2020 09:41
To: Rahul Vyas <Rahul.Vyas@thefa.com>; SharadDavay.A@cognizant.com
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

Sure Rahul.

I`ll speak with Sharad and get normal requests raised under your name. The request category shall follow no approvals but we will change subject line. 

You will receive the emails though. Will that be ok? 
Thanks 

Kind Regards

Taran Narula
Service Delivery Manager, Cognizant Infrastructure Services. 

 

Mobile: +44 (0) 7899067571
Email:  Taran.SinghNarula@cognizant.com | www.cognizant.com
      

From: Rahul Vyas <Rahul.Vyas@thefa.com> 
Sent: 28 July 2020 09:38
To: Singh Narula, Taran (Cognizant) <Taran.SinghNarula@cognizant.com>; A, Sharad Davay (Cognizant) <SharadDavay.A@cognizant.com>
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

[External]
Pls make sure line manager approvals don't go to Alan. T will annoy him




Regards,

Rahul Vyas

Service Delivery Manager, Technology Dept.
The FA Group
M. +447778673140

From: Taran.SinghNarula@cognizant.com <Taran.SinghNarula@cognizant.com> 
Sent: 28 July 2020 09:35
To: Rahul Vyas <Rahul.Vyas@thefa.com>; SharadDavay.A@cognizant.com
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

Sure Rahul.

Hi Srikanth, Sharad and Puneet,

Please proceed per county but raise ticket under Rahul`s name. This is only for tracking purposes to understand who in the county holds the licenses. 

Thanks 

Kind Regards

Taran Narula
Service Delivery Manager, Cognizant Infrastructure Services. 

 

Mobile: +44 (0) 7899067571
Email:  Taran.SinghNarula@cognizant.com | www.cognizant.com
      

From: Rahul Vyas <Rahul.Vyas@thefa.com> 
Sent: 28 July 2020 09:28
To: Singh Narula, Taran (Cognizant) <Taran.SinghNarula@cognizant.com>; A, Sharad Davay (Cognizant) <SharadDavay.A@cognizant.com>
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

[External]
Raise 1 ticket. Don't want multiple triggers going out to users unless you want to log it under my name and bypass line manager approval.




Regards,

Rahul Vyas

Service Delivery Manager, Technology Dept.
The FA Group
M. +447778673140

From: Taran.SinghNarula@cognizant.com <Taran.SinghNarula@cognizant.com> 
Sent: 28 July 2020 00:52
To: Rahul Vyas <Rahul.Vyas@thefa.com>; SharadDavay.A@cognizant.com
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

Hi Rahul,

How many user`s per CFA are in question. 

Suggest shall we raise individual ticket at county Level?

Thanks 
Kind Regards

Taran Narula
Service Delivery Manager, Cognizant Infrastructure Services. 

 

Mobile: +44 (0) 7899067571
Email:  Taran.SinghNarula@cognizant.com | www.cognizant.com
      

From: Rahul Vyas <Rahul.Vyas@thefa.com> 
Sent: 27 July 2020 18:24
To: Singh Narula, Taran (Cognizant) <Taran.SinghNarula@cognizant.com>; A, Sharad Davay (Cognizant) <SharadDavay.A@cognizant.com>
Subject: FW: Power BI Licences
Importance: High

[External]
Hi Taran and Sharad

Can we pls allocate these licenses under 1 ticket?




Regards,

Rahul Vyas

Service Delivery Manager, Technology Dept.
The FA Group
M. +447778673140

From: Adam Doyle <Adam.Doyle@thefa.com> 
Sent: 24 July 2020 16:45
To: Rahul Vyas <Rahul.Vyas@thefa.com>
Cc: Taran Singh <Taran.SinghNarula@cognizant.com>; Sohail Mansaf <Sohail.Mansaf@thefa.com>; William De Souza Tigre <William.tigre@thefa.com>; Katrina Caraska <Katrina.Caraska@thefa.com>
Subject: Power BI Licences
Importance: High

Hi Rahul 

Hope all is well

See attached the current list of all requested Power BI licences for County FA's. Note on this list we have 102 submissions however we are going to need a minimum of 108 licences

•	We have allocated 1 licence to all County FA CEO's = 50
•	We have then allocated 1 additional licence to 1 staff member within each county
•	You will see on the list that some Counties have not yet submitted a 2nd person (6 CFAs)
•	However you will also see on the list some counties have submitted more than there allocation which they would like to pay the 3 year fee of £270 per licence

Therefore please can you allocate a licence for all of the 102 attached
•	94 of these licences are from the 100 allocation which The FA is paying for. @Katrina Caraska is chasing up the remaining 6 individuals from those CFAs yet to submit. However this maybe due the CFA completing a workforce review following the recent funding cuts and therefore are not able to confirm yet
•	8 of these licences are at cost price to the County FA which I will be deducting from their August 31st salary grant payment (£270 per licence x 8 = £2160)
•	When I make this deduction I will need a code in which to transfer this money to which will offset any charge you incur for additional licences, please can you provide this?

Please can you ensure that these licences are allocated to all staff on this list before COP Wednesday 29th July? We are going live with the product to all Counties on Friday 31st therefore keen to ensure that these are completed a day prior to this in case of any issue.

Once we confirm the additional 6 free licences I will ensure these are sent across. Following this we will close this process and all additional licences will  be at cost and go via the IT support process which you confirmed with Will.

Can you let me know if there are any issues with this

Adam

Adam Doyle | Project & Performance Manager
Grassroots Division
The FA Group
Wembley Stadium, Wembley, London HA9 0WS
Postal Address: Wembley Stadium, PO Box 1966, London SW1P 9EQ
T: 0800 169 1863 #4817 M: 07966 230995
www.TheFA.com"
"SCTASK0007047","COG - Service Desk Support","Please add info@devonfa.com to another staff members email account","Workers now coming back to work - need more help"
"SCTASK0007040","COG - Service Desk Support","Janani recently set up a shared mailbox for us (farefereedevelopers@thefa.com). I'd like Nicola Gibson to be granted access to it, please. Her email address is nicola.gibson@thefa.com","The mailbox was set up so we could deal with a high volume of incoming/outgoing mail. Nicola will be using the mailbox also."
"SCTASK0007035","COG - Compute support","Termination of 3 joint email addresses","Myself and Nick Frith work on the Women's National League in which we have 3 FA email addresses that we can both access to receive emails from our member clubs instead of contacting our individual FA addresses. This will not be the case next week and we will need the email addresses to be closed down with a permanent out of office on them from August 3rd.

The addresses are;
FAWNL.Secretary@TheFA.com
FAWNL.Teamsheets@TheFA.com
FAWNL.Registrations@TheFA.com"
"SCTASK0007033","COG - Compute support","I need access to the WEM-FINSQL1   Database","I need access in order to run finance reports from GP"
"SCTASK0007032","COG - Service Desk Support","I have lost access to Management Reporter 2012","I need Management Reporter 2012 to run finance reports.  Urgently required."
"SCTASK0007031","COG - Service Desk Support","Can not log into Whole Game System","I am not able to log into whole game system.  I attach a screen shot of the screen displayed when I am trying to log on."
"SCTASK0007030","COG - Application Support","OTT - Missing Videos","The videos mentioned below are present in the Stream AMG list of videos, but not in Mongo DB collection. 
(https://thefa-cm.streamamg.com/api/v1/a7abf1f6-b3d5-4dea-89f4-5141ff264bfa/6ln63lARRtIkiJF0LiyvQTBiKBtLmHscrT71Or3Mmc4wb85l8J/en/search/?query=(publicationData.updatedAt:%3E=1900-03-20%20OR%20publicationData.createdAt:%3E=1900-03-20)"
"SCTASK0007013","COG - Service Desk Support","Emails not sending","Emails are not being delivered to several microsoft accounts via @thefa.com addresses. We have had over 30 emails with message ""failure to deliver"" when sending from the following email addresses since last week.

Emails released from: Matchday@thefa.com, playerregistrations@thefa.com, myaccount@thefa.com

Emails failed to deliver to:
spanstad@hotmail.com
shikitan73@icloud.com
fallon_2005@hotmail.com
richcarrscfc@hotmail.co.uk
tom_boulter@hotmail.co.uk
richardwebb2@hotmail.com
tiptoprob@hotmail.com
hodgey1889@hotmail.co.uk
lsuarez94lfc@hotmail.co.uk
jonathanpool2009@hotmail.com
s.gillman@live.co.uk
ktarmstrong151@hotmail.com
mickyb_4@hotmail.com
kaylbarker@hotmail.com
dlwalsh@hotmail.co.uk
rahullawlor@hotmail.co.uk
andrew-hunter1986@hotmail.co.uk
jamesmallender@hotmail.co.uk
robblades_17@hotmail.co.uk
paulbutler72@hotmail.com
gav.j22@hotmail.co.uk
lui1867@hotmail.com
dan.hurwood@hotmail.co.uk
nancy_monaghan@hotmail.co.uk
smcfootball@live.co.uk
parsoge66@outlook.com
 troy-r@outlook.com
smcfootball@live.co.uk
nogger47@hotmail.com
parsoge66@outlook.com"
"SCTASK0007012","COG - Service Desk Support","Please can Liam Mankee be given access to referees@cornwallfa.com please","New starter, new responsibilities - URGENT if possible please."
"SCTASK0007004","COG - ERSS Security-L1","As the new IP address are not connecting to internet. We need to know the configuration for the existing fortress IPs and need to provide the same access to the new IPs. Existing Fortress IP:  10.50.56.105 & 10.50.56.106 New IP:  10.50.56.107 10.50.56.108 10.50.56.109 10.50.56.110","As the new IP address are not connecting to internet. We need to know the configuration for the existing fortress IPs and need to provide the same access to the new IPs.

Existing Fortress IP:  10.50.56.105 & 10.50.56.106

New IP: 
10.50.56.107
10.50.56.108
10.50.56.109
10.50.56.110"
"SCTASK0007002","COG - Application Support","Safeguarding Operating Standards Monitoring Reports","Please can the email address david.kennedy@jerseyfa.com  be added to the daily distribution list for the Jersey FA"
"SCTASK0007000","COG - Compute support","Need access to G-Suite","Access is required to work on the reports in Google Analytics  for Return to Football"
"SCTASK0006999","COG - Compute support","Need access to G-Suite","Access is required to work on the reports in Google Analytics  for Return to Football"
"SCTASK0006998","COG - Compute support","Need access to G-Suite","Access is required to work on the reports in Google Analytics  for Return to Football"
"SCTASK0006996","COG - Service Desk Support","Add/Remove users from P1 county and P1 incident DL","Some of the users have left the project

Kindly add the below users to P1 incident DL
1) Mukund.Krishnamurthy@cognizant.com
2) Tata, Muralikrishna (Cognizant) <Muralikrishna.Tata@cognizant.com>;
3) T, Nareshkumar (Cognizant) Nareshkumar.T@cognizant.com

Kindly remove the below users from P1 incident DL
1) Rajesh Mayaperumal <Rajesh.Mayaperumal@cognizant.com>
2) Pallavi Singh <Pallavi.Singh@thefa.com>
3) Naveen Ambroise <Naveen.Ambroise@cognizant.com>
4) Billakota Satish <satish.billakota@cognizant.com>
5) Sitdikova, Olga Olga.Sitdikova@thefa.com  - remove on 31st July
6) Mohammad Ahsan Mohammad.Ahsan@thefa.com - remove on 31st July

Kindly remove the below Mail ID from P1 county DL
IT Support <IT.Support@thefa.com>"
"SCTASK0006994","COG - Service Desk Support","Not on the HR distribution list","Sarah Norris and myself have been taken off the HR distribution list for no reason. Please can this be rectified as soon as possible."
"SCTASK0006993","COG - Compute support","Requesting IIS access on WGS Performance servers","Hi Team,

Please can you provide me the IIS access on the following WGS performance servers? This is required for performance testing monitoring. 

WEMHC-P-WEB1 - 10.50.24.37
WEMHC-P-WEB2 - 10.50.24.164
WEMHC-P-WEB3 - 10.50.24.51
WEMHC-P-WEB4 - 10.50.24.50
WEMHC-P-WEB5 - 10.50.24.163

WEMHC-P-WGSFE1        10.50.24.129
WEMHC-P-WGSFE2        10.50.24.130
WEMHC-P-WGSFE3        10.50.24.141
WEMHC-P-WGSFE4        10.50.24.60
WEMHC-P-WGSFE5        10.50.24.159

Thanks,
Bala"
"SCTASK0006992","COG - Compute support","Requesting access for FA Microsoft O365 Admin Center (https://admin.microsoft.com/AdminPortal/)","Working for FA (COG - Compute Support) and would require access for this site.
Model ID - PavanKumar.Mudduluru@englishfa.onmicrosoft.com"
"SCTASK0006991","COG - Compute support","Service username/password (SQL server authentication)","Kindly raise a service request for creating an service username/password (SQL server authentication)  for the below servers. 
User should have read and write access to the below DBs.
 
FADEV_DEVSQL1
FADEV-TESTSQL1
WEMSTGSQL2
WEMGENSQL3
 
DBs to access :
 
1.FADW_Control
2.FADW_Mart
3.FADW_Mart_Lite
4.FADW_Staging
5.FADW_Warehouse"
"SCTASK0006989","COG - Service Desk Support","Access to an Adobe Pro licence.","As part of my role I am required to coordinate the signature of various contracts and documents. As we are now all working virtually, an Adobe Pro licence would be very helpful in order to be able to apply e-signatures to PDF documents as well as word ones."
"SCTASK0006981","COG - Compute support","Access required for Teamsheets and Handbook for the National League for tom@thenationalleague.org.uk","Access required to allow remote working."
"SCTASK0006977","COG - Service Desk Support","FreshDesk URL","I need my FreshDesk URL to be able access FreshDesk App on my mobile."
"SCTASK0006971","COG - Service Desk Support","HP SMART app required to complete new printer setup","New printer setup"
"SCTASK0006969","COG - Application Support","Business Objects","Please can I get the same access to Business Objects as Mark Ives.  We will be doing red/yellow cards from next season and some reports are produced using Business Objects.  Thanks"
"SCTASK0006968","COG - PFF Support","Referee Ryan Castle FAN No, 60808260 unable to register login screen username does not work.","Unabel to register as a referee."
"SCTASK0006967","COG - Application Support","Relates to previous IT request RITM0015198 merge of cub completed but all youth players missing from teams","Fleet Spurs FC unable to register players as they all disapeared. Club ID is 100097"
"SCTASK0006965","COG - PFF Support","Referee Wesley Luff FAN No. 58676825 unable to select youth option when registering as a referee. He has a DBS and safeguarding.","Unable to register"
"SCTASK0006964","COG - Service Desk Support","A new email address","The Refereeing Department is taking over responsibility for the management of a referee developer workforce. This work will include corresponding with 400+ people regarding interviews, training etc and a large number of emails will be generated (sent and received). More than one person will be dealing with these emails and so we require a separate email address that can be accessed by these people."
"SCTASK0006963","COG - Compute support","Please add Luke Scott access to the Secure Safeguarding folder in the Shared drive.","He is now Deputy DSO and needs access"
"SCTASK0006960","COG - Service Desk Support","Proactis account/software","Processing Invoices for the team"
"SCTASK0006959","COG - Application Support","Safeguarding Operating Standards Monitoring Reports","Please can my email address jonathan.lefondre@jerseyfa.com  be added to the daily distribution list for the Jersey FA"
"SCTASK0006958","COG - Desk side support - SGP","Replacement Phone","Phone is broken needs replacing"
"SCTASK0006953","COG - Service Desk Support","Please provide access to FrontLawn@Hampshirefa.com mailbox to Declan Hellyer and Lewis Wells","Replaced Gary Pratt so need access to front lawn emails."
"SCTASK0006935","COG - Service Desk Support","Please allow for Declan Hellyer & Lewis Wells to access the CupResults@HampshireFA.com mailbox","Gary Pratt had access to mailbox but is leaving our employment - i have raised an FA Leaver request."
"SCTASK0006928","COG - Compute support","lrep DB copy to LR dev environment","Please can we have a copy, live Fulltime lrep database (scrambled). It may be appropriate to split into parts as D drive currently has 30 GB free space

Please put it here 

WEMHC-FTWEBSVC - D:\FTPRoot 

so we can transfer it down for development."
"SCTASK0006923","COG - Compute support","Create DNS entries for Bootroom sub domain changes","The ARB has approved the creation of a sub domain for the move of thefa.com/learning to go to https://thebootroom.thefa.com.

The Dev & test environments require creation asap. The pre-prod and live environments do not need to be done just yet.

Please see attached document."
"SCTASK0006921","COG - PFF Support","Lucas Benniston FAN: 64597527 is unable to register as a referee","Referee needs to be able to re-register"
"SCTASK0006920","COG - Application Support","Access to CRM","Support with affiliation process"
"SCTASK0006917","COG - PFF Support","Fidelis Akanga FAN no. 57609608 is unable to register as a referee - similar problem to Derek Pratt on ealier ticket request.","page freezes when displaying 3 female referees unabel to conitnue."
"SCTASK0006914","COG - Service Desk Support","Need access to Adobe Edit PDFs & Combine Files","For correspondence with football clubs"
"SCTASK0006911","COG - PFF Support","Chris Gunnell FAN No. 1104686 unable to register as a referee","clicked to start referee team registration and the picture of three female referees appear and crashes."
"SCTASK0006910","COG - PFF Support","Colin Miles FAN No. 1055865 unable to register as a referee","page freezes on three female referees screen."
"SCTASK0006908","COG - Compute support","Copy Images to Test Server - Full-Time","Can the infrastructure team copy the contents of 

WEMHC-FTWEBSVC D:\resources.thefa.com\images\ftimages\

to

FADEV-FTTEST01 D:\resources.thefa.com\images\ftimages_test

It is about 32GB

So the test server doesn't show missing images"
"SCTASK0006907","COG - Network Data Support","Redirects required from Licensed Coaches Club site to My Account","At 23:59 on 31/07/2020, we are switching off The FA Licensed Coaches Club website and redirecting both https://facc.thefa.com/ and http://faccreg.thefa.com/ to https://myaccount.thefa.com/"
"SCTASK0006905","COG - Application Support","Cancel Just Play & Just Play Students sessions","Cancel all Just Play & Just Play Students sessions up to (and including Friday 31st July).

Do NOT send emails to players booked on."
"SCTASK0006903","COG - Service Desk Support","email set up to support the newly launch ""equality code""","Mark Bullingham and Paul Elliott recently announced the FA equality code. To deal with inbound inquiries and general comms we would like an email account set up. we  would like both EqualityVoluntaryCode@theFA.com and equalitycode@thefa.com to be set up asap"
"SCTASK0006901","COG - Compute support","Need Access for IntegrationMonitor Database","Please provide the Read access to the below Database
ServerName: WEMGENSQL1
DatabaseName: Integration Monitor
UserName: Cog.VS"
"SCTASK0006900","COG - Service Desk Support","Request the installation of google earth  pro","Facilities  &  Investment Officer requires ground data intelligence for  remit."
"SCTASK0006896","COG - Service Desk Support","Consultant FA Email account extension dates","Consultant email accounts due to expire on 31.7.20.  New contracts will not be issued until approx end August.  Can all the consultant email accounts stay open until further notice?  I have a list of all the consultants I can pass once this has been reviewed.  Jack Bates is aware of this request."
"SCTASK0006879","COG - Compute support","Need Access for the below Servers","Need access for the below Servers.

 UserName:-  FADEV\cog.AVR.
Dev Jump Server:-  10.110.0.198
QA Server:-  10.110.29.4

UserName:-  THEFA\cog.AVR
STG Jump Server:- 10.112.0.198
STG Server:-  10.112.9.5 , 10.112.9.6 ,10.112.9.7 ."
"SCTASK0006878","COG - Service Desk Support","Pwd Expired for FA id ","Password expired for FA id - cog.Knat.
Kindly help reset it, Since its expired.

"
"SCTASK0006876","COG - Application Support","Wildcats Sessions","A list of centres that have active sessions between 01/07/20 and 31/12/20.

Doc to include the columns:

CFA
Application ID
Event ID
Organisation Name
# Sessions Created

we will need to re-run this report every Monday, for the next few weeks."
"SCTASK0006872","COG - Service Desk Support","Password Reset for FA credentials","Hi,

Need Password to be reset for FA id - FA\cog.pacharya

Thanks,
Prafful"
"SCTASK0006871","COG - DBA Support","SV SQL Preprod to sync with SV SQL Prod","Please replace below tables with Prod data:
SingleViewAggrOTT
OTTReference
SingleViewOTTEvents
SingleViewOTTVideo
SingleViewOTTVideoExtension"
"SCTASK0006869","COG - Desk side support - SGP","My printer is broken. Please could I have a new one.","I work from home and need to print off notes, presentations etc"
"SCTASK0006868","COG - Service Desk Support","Hunts FA printer","The FA recently moving all local County shared drives across to a cloud based solution. The printer was attached to the County FA shared drive and now we cannot scan and locate any documents. Can some let me know how we conntact the printer to the new cloud please."
"SCTASK0006785","COG - Smart Ops Support (L1.5)","Need new CAS account","Need access to disciplinary details"
"SCTASK0006784","COG - Application Support","Daily Mismatch Analysis","Between WGS & SPV"
"SCTASK0006783","COG - Compute support","Can't debug visual studio need admin privilege","Team am facing issue need admin access to debug my project application via visual studio so according to incident INC0033534 am created this request..
FYI am using Cognizant BYOD device and connecting via cognizant azure VM bastion ."
"SCTASK0006781","COG - PFF Support","Referee can't re-register due to blank screen","Referee FAN: 62644491"
"SCTASK0006780","COG - Service Desk Support","Could i Add Melisa's email  melisa.wilson@securitas.uk.com to the securitasdistribution  email list please","To carry out day to day tasks"
"SCTASK0006779","COG - Smart Ops Support (L1.5)","Requesting access to CAS","I need access to CAS as County Cups Officer to ensure competitions are linked to Full Time for the new season."
"SCTASK0006775","COG - Service Desk Support","The Phillips SpeechAir smart voice recorder  https://www.dictaphones.co.uk/Philips-PSP2100-SpeechAir-Smart-Voice-Recorder-p/psp2100.htm  £358  The pack of coloured overlays for the laptop screen  https://www.dyslexic.com/product/irlen-coloured-overlay-clings-computers-tablets-and-phones/  £7.99","Required to support work tasks. Approved by HR, Head of Integrity and Senior Safeguarding Manager."
"SCTASK0006774","COG - Service Desk Support","The Phillips Speech Air smart voice recorder and The pack of coloured overlays for the laptop screen","Required for daily work tasks. Approved by HR, Senior Safeguarding Manager and Head of Integrity. I am Richard Dempsey's line manager making the request on his behalf.

It is important to note that Richard has found the aforementioned items for cheaper than commercially advertised on the following websites:

https://www.dictaphones.co.uk/Philips-PSP2100-SpeechAir-Smart-Voice-Recorder-p/psp2100.htm  £358

The pack of coloured overlays for the laptop screen

https://www.dyslexic.com/product/irlen-coloured-overlay-clings-computers-tablets-and-phones/  £7.99"
"SCTASK0006770","COG - Compute support","ETL reports are not refreshing in remote desktop","ETL reports using the 

ETLP2PDW do not seem to be refreshing. Looking at the timestamp, the last refresh was on 14/07/2020 22:06"
"SCTASK0006768","COG - Service Desk Support","MS Teams keep crashing...Please contact on M+44 (0)7970 727748 Dawn.Scott@TheFA.com,","MS Teams keep crashing...Please contact on M+44 (0)7970 727748
Dawn.Scott@TheFA.com,"
"SCTASK0006767","COG - Compute support","Addition of login Under [THEFA\GG Cognizant AVM] group","Hi All,

As  the login details are not present under the group  [THEFA\GG Cognizant AVM] , could you please add the below id to the given group.

 thefa login is  = thefa\sradhakrishnan

Also provide access for WEM-RAM7 server.

Thanks,
Sharuga K A"
"SCTASK0006766","COG - Network Data Support","Enable ports 1MA1-198B. Red 1MA1s01 1/0/44 for Honeywell on red network for event planned for tomorrow","Enable ports 1MA1-198B. Red 1MA1s01 1/0/44 for Honeywell on red network  for event planned for tomorrow"
"SCTASK0006765","COG - PFF Support","Andrew Doncaster FAN. 1086833 unable to register as a referee","advises me that when going to registration the page reads : The specific URL cannot be found  ID. 173523beca9-dd6108c2"
"SCTASK0006758","COG - Service Desk Support","Linking up  office computer to  my new laptop/ works station","Required for particular work  documents"
"SCTASK0006756","COG - Service Desk Support","melisa.wilson@securitas.uk.com needs to be added to PSTManagementTeam distrubution list","Melisa needs to have sight of email that is sent to the distribution list"
"SCTASK0006751","COG - Azure Support","Azure VM access is required","Azure VM access is required"
"SCTASK0006750","COG - DBA Support","Datamart db access","Datamart db access

ID:
FADEV-DEVSQL1 ( read & write)  ( FADEV\sradhakrishnan, FADEV\Cog.AnAntony) 
FADEV-TESTSQL1 ( read & write)   ( FADEV\sradhakrishnan, FADEV\Cog.AnAntony)
WEMSTGSQL2 ( read & write)   ( THEFA\sradhakrishnan, THEFA\Cog.AnAntony)

DB: 
1.FADW_Control
2.FADE_Mart
3.FADW_Mart_Lite
4.FADW_Staging
5.FADW_Warehouse"
"SCTASK0006749","COG - Compute support","RMAN server access required","Hi Team, As i am apart of FA CRM team, need access to RMAN's servers.  These are:

RMAN2 - 10.104.117.30

RMAN4 - 10.104.208.170

RMAN5 - 10.50.96.120


"
"SCTASK0006741","COG - PFF Support","Referee is unable to register FAN:65639635","Referee needs to register for new season"
"SCTASK0006740","COG - Service Desk Support","Add users to internalvideo@thefa.com","Please can we add Sonibel.Rae@thefa.com and Mike.Fanshawe@thefa.com to  internalvideo@thefa.com"
"SCTASK0006739","COG - Service Desk Support","Access to Mailbox","Please can I have access to ssf@devonfa.com I require this due to staff being on furlough and teh need to manage emails from this CFA account"
"SCTASK0006738","COG - Desk side support - Wembley","Visio 2016","I need Visio 2016 to create sequence diagrams"
"SCTASK0006737","COG - Compute support","affiliation@amateur-fa.com to go through our freshdesk - affiliation@amateurfa.freshdesk.com","we need affiliation@amateur-fa.com through freshdesk"
"SCTASK0006733","COG - Application Support","Error with Alan Paterson FAN no. 2048763 and his DBS","Says still pending on DBS Outcome, FAChecks@gbgplc.com have emailed to confirm that it was updated and that i need to raise with IT Support."
"SCTASK0006732","COG - Service Desk Support","Sitecore down","Sitecore and Citrix down. Trying to publish a SGP news piece that needs to go out asap"
"SCTASK0006731","COG - PFF Support","Ethan Bedford FAN no. 65636794 unable to register as a referee - similar issue previously reported.","Gets to screen with three female referees and page freezes."
"SCTASK0006730","COG - PFF Support","Derek Pratt FAN No. 1104346 not able to register as a referee","when loggin in page freezes on the display with three females will not let him go any further. Has used three different computers/devices still not able to move from this page."
"SCTASK0006729","COG - Application Support","No Data Flowing to SingleViewOTTEvents in SV_PreProd","FAO Cognizant: (Smitha.PRadhakrishnan@cognizant.com/Balakumaran.P@cognizant.com)

I am building some FA Player dashboards and need to create scripts to process daily updates to the Consumption data which I am planning to do in Staging however the SingleViewOTTEvents table in SV_PreProd has not been updated since the 13th February and as a result I am unable to develop the scripts and test the scripts. Please could you look into restarting the daily incremental data in order to align PreProd with Production."
"SCTASK0006726","COG - Service Desk Support","New FA Email Address","New email address required in order to process new player stats which are being processed via. Full-Time/The FA Matchday App.

The new email address we need to be setup is: Playerstats@thefa.com - if this can then please me linked to my account on outlook it would be appreciated.

Regards
Jack"
"SCTASK0006723","COG - Compute support","Access to a file path","James Taylor sent me this file path to access images of music artists that have played Wembley:

C:\Users\jataylor\The Football Association\Wembley Departments Shared Data - Documents\Events\Private\Music & New Events\Events Pics

Please can you give me access to it."
"SCTASK0006721","COG - Desk side support - SGP","AD groups and attributes change - SGP IT - Mat Mansfield","Hi,

Could I request changing user groups and attributes for the following users please?

Martin.Evans@thefa.com - GD PPN - WU21,WU19,WU18,WU17,WU16,WU15,WU14
Lydia.Bedford@thefa.com - GD WD - WU14, WU15, WU16, WU17 AND WU18

Thank you,
Gop"
"SCTASK0006707","COG - Application Support","Suspension Error on WGS","I have been contacted by Staffordshire FA in respect of  two safeguarding suspensions which are incorrectly recorded on WGS. I have spoken with Gary Simmonds who has advised I contact you and raise a ticket. Please remove the safeguarding suspension from FAN numbers: 56273353 and 219480. this is required for affiliation purposes for next season. I can confirm that there is no safeguarding suspension currently in place from Safeguarding Team."
"SCTASK0006706","COG - Service Desk Support","Require HDMI cable","whilst working from home to connect VDU to laptop
147 Lancaster Road
Barnet
Herts
EN4 8AJ"
"SCTASK0006687","COG - Compute support","FaDev and TheFA access required","FaDev and TheFA access required for Gayatri

FA user id - Cog.GPanda"
"SCTASK0006686","COG - Compute support","FaDev and TheFa access is required","FaDev and TheFa access is required for Alamelu VA

FA User id - Cog.AVR"
"SCTASK0006685","COG - DBA Support","PFF Email Capture DB restore.","Restore PFF - Email Capture DB ( backup taken on 09/07/2020  16:00 BST) 

-	db name: emailcapturedb
-	server: tcp:zhcpp-pffsql5a.database.windows.net,1433"
"SCTASK0006684","COG - Compute support","Access for Datawarehouse Prod ","WEMGENSQL3 - Need access to the DataBase Server for below:
TheFA\SRadhakrishnan & FA\Cog.AnAntony

    Anju.Antony3@cognizant.com smitha.pradhakrishnan@cognizant.com
"
"SCTASK0006641","COG - Application Support","Request log in for Whole Game System (WGS) - https://wgsstsr.thefa.com/adfs/ls/?wa=wsignin1.0&wtrealm=https%3a%2f%2fwgs.thefa.com%2f&wctx=rm%3d1%26id%3df48a592e-2d61-4868-8d4f-811f6c48f31b%26ru%3d%252fdefault.aspx&wct=2020-07-09T10%3a22%3a19Z&wauth=urn%3afederation%3aauthentication%3awindows","Access required to WGS as part of role in order to add personnel to the whereabouts system. Line manager for approval is Robert Henderson."
"SCTASK0006640","COG - Service Desk Support","Install Adobe Acrobat Pro","Job role requires edit function of PDF documents. Line manager name for approval is Robert Henderson."
"SCTASK0006638","COG - Compute support","10.50.64.62 - Server access is required ","10.50.64.62 - Server access is required as part of Re push activities"
"SCTASK0006637","COG - Service Desk Support","Unable to change the receipt status of POs from ""Awaiting inspection"" to ""Okay to pay invoice"". PO are still showing us ""not receipted"" on finance system. This is urgent due to the end of finance cycle next week.","Unable to change the receipt status of POs from ""Awaiting inspection"" to ""Okay to pay invoice"". PO are still showing us ""not receipted"" on finance system. This is urgent due to the end of finance cycle next week."
"SCTASK0006612","COG - Service Desk Support","Adobe Flash Player update/ admin password","i need to update my Adobe Flash Player but it requires an admin password. are you able to remote onto my system to add this?"
